eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
2318.08,13.89,283,0.006056505,0.10449219,0.42870942,-0.010143737,0.00304491,0.9013729095458984,1930,247040,1903.274682653,494080
2318.08,13.89,284,0.0043187197,0.107421875,0.42382854,-0.011220954,0.002613132,0.9532685354351997,1931,247168,1904.1740781689998,494336
2318.08,13.89,284,0.0065582553,0.16601562,0.5576214,-0.014761783,0.0023312853,0.9510593861341476,1932,247296,1905.0730775939999,494592
2318.08,13.89,276,0.0070566894,0.14453125,0.45717704,-0.012707997,0.0020420917,0.9399569667875767,1933,247424,1905.9981028280001,494848
2318.08,13.89,285,0.0051580863,0.13476562,0.439767,-0.011649298,0.0022156308,0.9558099508285522,1934,247552,1906.8958704069998,495104
2318.08,13.89,277,0.006269902,0.19921875,0.6005011,-0.019493088,0.0016521825,0.9586236886680126,1935,247680,1907.8202397779999,495360
2318.08,13.89,281,0.009855079,0.17480469,0.46990353,-0.01651357,0.0017514651,0.9452397711575031,1936,247808,1908.729516864,495616
2318.08,13.89,210,0.0065644123,0.14453125,0.47559172,-0.012555224,0.0026528605,0.9313271716237068,1937,247936,1909.947612183,495872
2318.08,13.89,185,0.0071255355,0.19433594,0.55956286,-0.013983846,0.0024062085,0.9298380315303802,1938,248064,1911.3296893580002,496128
2318.08,13.89,244,0.006677276,0.13964844,0.4824461,-0.009362847,0.007308203,0.8226031810045242,1939,248192,1912.377123778,496384
2318.08,13.89,287,0.0066794474,0.15917969,0.57623714,-0.014287122,0.0023504787,0.9544993601739407,1940,248320,1913.269279768,496640
2307.51,14.11,273,0.008288545,0.16992188,0.52769816,-0.015208742,0.009449495,0.8264727592468262,1941,248448,1914.2057282480002,496896
2307.51,14.11,283,0.0052947365,0.15820312,0.75326544,-0.0172417,0.06703681,0.6781246662139893,1942,248576,1915.1096244809999,497152
2296.53,14.29,282,0.0073756916,0.16601562,0.84217817,-0.015711216,0.041212764,0.6706053018569946,1943,248704,1916.01607524,497408
